bgc	BGC of	coculture	LFC
Pk_Ga0417193_01_rn25	Pkor	Pairwise with Bcer	-0.32775569
Pk_Ga0417193_01_rn26	Pkor	Pairwise with Bcer	0.018433454
Pk_Ga0417193_01_rn27	Pkor	Pairwise with Bcer	0.362060427
Pk_Ga0417193_01_rn28	Pkor	Pairwise with Bcer	-0.123376314
Pk_Ga0417193_01_rn01	Pkor	Pairwise with Fjoh	-0.008711578
Pk_Ga0417193_01_rn02	Pkor	Pairwise with Fjoh	0.010514144
Pk_Ga0417193_01_rn03	Pkor	Pairwise with Fjoh	0.084704436
Pk_Ga0417193_01_rn04	Pkor	Pairwise with Fjoh	0.038957038
Pk_Ga0417193_01_rn05	Pkor	Pairwise with Fjoh	0.162953806
Pk_Ga0417193_01_rn06	Pkor	Pairwise with Fjoh	0.003200139
Pk_Ga0417193_01_rn07	Pkor	Pairwise with Fjoh	0.088374971
Pk_Ga0417193_01_rn08	Pkor	Pairwise with Fjoh	0.036097677
Pk_Ga0417193_01_rn09	Pkor	Pairwise with Fjoh	0.007942626
Pk_Ga0417193_01_rn10	Pkor	Pairwise with Fjoh	-0.017016198
Pk_Ga0417193_01_rn11	Pkor	Pairwise with Fjoh	-0.16707956
Pk_Ga0417193_01_rn12	Pkor	Pairwise with Fjoh	-0.020974874
Pk_Ga0417193_01_rn13	Pkor	Pairwise with Fjoh	-0.060570279
Pk_Ga0417193_01_rn14	Pkor	Pairwise with Fjoh	-0.010942299
Pk_Ga0417193_01_rn15	Pkor	Pairwise with Fjoh	0.017067465
Pk_Ga0417193_01_rn16	Pkor	Pairwise with Fjoh	0.01396975
Pk_Ga0417193_01_rn17	Pkor	Pairwise with Fjoh	-0.023376393
Pk_Ga0417193_01_rn18	Pkor	Pairwise with Fjoh	0.092345699
Pk_Ga0417193_01_rn19	Pkor	Pairwise with Fjoh	-0.024469695
Pk_Ga0417193_01_rn20	Pkor	Pairwise with Fjoh	0.024241373
Pk_Ga0417193_01_rn21	Pkor	Pairwise with Fjoh	0.00265223
Pk_Ga0417193_01_rn22	Pkor	Pairwise with Fjoh	-0.299451513
Pk_Ga0417193_01_rn23	Pkor	Pairwise with Fjoh	-0.253974894
Pk_Ga0417193_01_rn24	Pkor	Pairwise with Fjoh	-0.365479026
Pk_Ga0417193_01_rn25	Pkor	Pairwise with Fjoh	-0.012339937
Pk_Ga0417193_01_rn26	Pkor	Pairwise with Fjoh	-0.008034773
Pk_Ga0417193_01_rn27	Pkor	Pairwise with Fjoh	-0.00265223
Pk_Ga0417193_01_rn28	Pkor	Pairwise with Fjoh	0.138457526
Pk_Ga0417193_01_rn01	Pkor	Three-member	0.009009016
Pk_Ga0417193_01_rn02	Pkor	Three-member	-0.03176486
Pk_Ga0417193_01_rn03	Pkor	Three-member	-0.129761453
Pk_Ga0417193_01_rn04	Pkor	Three-member	0.068865534
Pk_Ga0417193_01_rn05	Pkor	Three-member	-0.144664181
Pk_Ga0417193_01_rn06	Pkor	Three-member	0.043943672
Pk_Ga0417193_01_rn07	Pkor	Three-member	-0.144171287
Pk_Ga0417193_01_rn08	Pkor	Three-member	0.031860715
Pk_Ga0417193_01_rn09	Pkor	Three-member	-0.111201343
Pk_Ga0417193_01_rn10	Pkor	Three-member	0.380868592
Pk_Ga0417193_01_rn11	Pkor	Three-member	-0.214737502
Pk_Ga0417193_01_rn12	Pkor	Three-member	-0.024375706
Pk_Ga0417193_01_rn13	Pkor	Three-member	0.168955944
Pk_Ga0417193_01_rn14	Pkor	Three-member	-0.009009016
Pk_Ga0417193_01_rn15	Pkor	Three-member	0.064998906
Pk_Ga0417193_01_rn16	Pkor	Three-member	0.600088557
Pk_Ga0417193_01_rn17	Pkor	Three-member	0.054184154
Pk_Ga0417193_01_rn18	Pkor	Three-member	0.166696581
Pk_Ga0417193_01_rn19	Pkor	Three-member	-0.56817132
Pk_Ga0417193_01_rn20	Pkor	Three-member	0.091784624
Pk_Ga0417193_01_rn21	Pkor	Three-member	-0.076477637
Pk_Ga0417193_01_rn22	Pkor	Three-member	0.051816109
Pk_Ga0417193_01_rn23	Pkor	Three-member	-0.702960354
Pk_Ga0417193_01_rn24	Pkor	Three-member	-0.513762581
Pk_Ga0417193_01_rn25	Pkor	Three-member	-0.21539057
Pk_Ga0417193_01_rn26	Pkor	Three-member	0.040933859
Pk_Ga0417193_01_rn27	Pkor	Three-member	0.387450716
Pk_Ga0417193_01_rn28	Pkor	Three-member	-0.048021105
